Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2207.82it/s]
K2MXI1_TRYCR: Predicted ERROR, probability : 0.8525
A0A096M5A9_POEFO: Predicted CORRECT, probability : 0.4424
A0A0F8CG33_LARCR: Predicted CORRECT, probability : 0.4886
A8X9X0_CAEBR: Predicted ERROR, probability : 0.9937
W4FHA7_9STRA: Predicted CORRECT, probability : 0.4203
W6KP47_9TRYP: Predicted CORRECT, probability : 0.4583
D8UFW5_VOLCA: Predicted ERROR, probability : 0.9262
A0A067QWM4_ZOONE: Predicted CORRECT, probability : 0.2798
Q4DQ54_TRYCC: Predicted ERROR, probability : 0.7896
G5ANN6_HETGA: Predicted ERROR, probability : 0.9964
W2TSC9_NECAM: Predicted ERROR, probability : 0.8247
A0A0V0QP26_PSEPJ: Predicted CORRECT, probability : 0.1814
V4YV31_TOXGV: Predicted CORRECT, probability : 0.4383
E7F6E0_DANRE: Predicted CORRECT, probability : 0.1400
A8XGG2_CAEBR: Predicted ERROR, probability : 0.9995
A0A067RAV1_ZOONE: Predicted ERROR, probability : 0.7056
T1IM01_STRMM: Predicted ERROR, probability : 0.6546
A0A158Q4P0_DRAME: Predicted ERROR, probability : 0.9918
A0A183ICB4_9BILA: Predicted ERROR, probability : 0.9992
A0A183AIJ3_9TREM: Predicted ERROR, probability : 0.9975
R1D9D6_EMIHU: Predicted ERROR, probability : 0.9371
W5NZN3_SHEEP: Predicted ERROR, probability : 0.7533
G0QWR3_ICHMG: Predicted CORRECT, probability : 0.1004
A0A194Q0F0_PAPXU: Predicted ERROR, probability : 0.9506
A0A0W8CRE0_PHYNI: Predicted ERROR, probability : 0.5109
A0A183CLC5_GLOPA: Predicted ERROR, probability : 0.7615
A0A0P7VI65_9TELE: Predicted ERROR, probability : 0.9652
S9WR29_9TRYP: Predicted ERROR, probability : 0.6520
E3NSB7_CAERE: Predicted ERROR, probability : 0.6174
A0A154P1T7_9HYME: Predicted ERROR, probability : 0.7240
G3VFR9_SARHA: Predicted ERROR, probability : 0.5041
A0A0Q3PA18_AMAAE: Predicted CORRECT, probability : 0.3581
H2LB78_ORYLA: Predicted ERROR, probability : 0.9927
A0A094ZQZ1_SCHHA: Predicted ERROR, probability : 0.6651
A0A0D8Y0V9_DICVI: Predicted ERROR, probability : 0.6032
D2V8J4_NAEGR: Predicted ERROR, probability : 0.5097
G1QTN2_NOMLE: Predicted ERROR, probability : 0.8624
A0A024GM19_9STRA: Predicted ERROR, probability : 0.6773
V4BHA5_LOTGI: Predicted CORRECT, probability : 0.2831
A0A0D2MQ54_9CHLO: Predicted ERROR, probability : 0.8478
M7BYF6_CHEMY: Predicted ERROR, probability : 0.9980
A0A0N1ITH1_9HYME: Predicted ERROR, probability : 0.6811
A0A183CD97_GLOPA: Predicted ERROR, probability : 0.7015
IFT74_CHLRE: Predicted ERROR, probability : 0.8956
E9H9W1_DAPPU: Predicted CORRECT, probability : 0.3772
E9AH05_LEIIN: Predicted ERROR, probability : 0.6276
W5M3Q4_LEPOC: Predicted CORRECT, probability : 0.3956
L5KM74_PTEAL: Predicted ERROR, probability : 0.6820
A0A0P7TT26_9TELE: Predicted ERROR, probability : 0.7966
V6LPV3_9EUKA: Predicted ERROR, probability : 0.9434
A0A0Q3LU71_AMAAE: Predicted ERROR, probability : 0.9987
A9UVT9_MONBE: Predicted ERROR, probability : 0.9755
A0A0N5AER1_9BILA: Predicted CORRECT, probability : 0.2301
B0W644_CULQU: Predicted ERROR, probability : 0.8029
C1MI95_MICPC: Predicted CORRECT, probability : 0.4670
G1P3P7_MYOLU: Predicted CORRECT, probability : 0.3852
A0A0M8ZV74_9HYME: Predicted ERROR, probability : 0.8809
I7MA22_TETTS: Predicted CORRECT, probability : 0.1719
A0A0Q3TM36_AMAAE: Predicted ERROR, probability : 0.9395
A0A0B2W068_TOXCA: Predicted ERROR, probability : 0.9979
A0A0L7LQE6_9NEOP: Predicted ERROR, probability : 0.9687
S9U0A0_9TRYP: Predicted ERROR, probability : 0.8268
K7FSV7_PELSI: Predicted ERROR, probability : 0.9208
G3WG80_SARHA: Predicted CORRECT, probability : 0.2435
A0A0P7X5W8_9TELE: Predicted ERROR, probability : 0.7906
W4YSB1_STRPU: Predicted ERROR, probability : 0.9809
L5MKB4_MYODS: Predicted ERROR, probability : 0.9203
G0QVY6_ICHMG: Predicted ERROR, probability : 0.9985
A0A0S4KEX6_BODSA: Predicted ERROR, probability : 0.6966
A0A094ZHV0_SCHHA: Predicted ERROR, probability : 0.6057
L5LQX7_MYODS: Predicted ERROR, probability : 0.5332
E4WWD2_OIKDI: Predicted ERROR, probability : 0.6993
W5MWM9_LEPOC: Predicted ERROR, probability : 0.9974
A9UTD3_MONBE: Predicted ERROR, probability : 0.9571
U1N6P8_ASCSU: Predicted ERROR, probability : 0.9379
C3XRE5_BRAFL: Predicted ERROR, probability : 0.8176
W4XAU7_STRPU: Predicted CORRECT, probability : 0.2549
A0A0G4IXU6_PLABS: Predicted CORRECT, probability : 0.2752
A0A067CVF7_SAPPC: Predicted ERROR, probability : 0.6768
A0A078ADS2_STYLE: Predicted CORRECT, probability : 0.2360
C1N2W8_MICPC: Predicted ERROR, probability : 0.5602
G1PPI5_MYOLU: Predicted ERROR, probability : 0.9904
V8PIC0_OPHHA: Predicted CORRECT, probability : 0.4214
D0P4B2_PHYIT: Predicted ERROR, probability : 0.5393
C3ZZT5_BRAFL: Predicted ERROR, probability : 0.9892
D2UYR4_NAEGR: Predicted CORRECT, probability : 0.1960
M3Z1A1_MUSPF: Predicted CORRECT, probability : 0.2848
E1BR95_CHICK: Predicted ERROR, probability : 0.8312
I1G3D8_AMPQE: Predicted ERROR, probability : 0.9173
C5L1U3_PERM5: Predicted ERROR, probability : 0.9669
K7FBG2_PELSI: Predicted ERROR, probability : 0.6728
A0A061IRX7_TRYRA: Predicted ERROR, probability : 0.6612
A0A194PI11_PAPXU: Predicted CORRECT, probability : 0.4492
L9JDP7_TUPCH: Predicted ERROR, probability : 0.9031
I3LSF7_PIG: Predicted ERROR, probability : 0.9686
U4UMR4_DENPD: Predicted ERROR, probability : 0.9477
A0A0N1ICY5_PAPMA: Predicted CORRECT, probability : 0.4469
A0A183BL13_GLOPA: Predicted ERROR, probability : 0.9783
L1K4I7_GUITH: Predicted ERROR, probability : 0.9723
H2NVE1_PONAB: Predicted ERROR, probability : 0.5538
J9KWP6_ACYPI: Predicted CORRECT, probability : 0.1436
H0VTI3_CAVPO: Predicted CORRECT, probability : 0.4007
A8Y3D5_CAEBR: Predicted ERROR, probability : 0.5720
J9J485_9SPIT: Predicted ERROR, probability : 0.9917
K7FZ59_PELSI: Predicted CORRECT, probability : 0.1855
C1DZQ4_MICCC: Predicted ERROR, probability : 0.9216
A0A0P7VAX9_9TELE: Predicted ERROR, probability : 0.7504
A0BFX9_PARTE: Predicted ERROR, probability : 0.9998
[[912 676]
 [280 875]]
Recall = 0.7575757575757576
Specificity = 0.5743073047858942
